<repo>\reproduction\src\modern_gpu.py:98: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\aten\src\ATen\Context.cpp:855.)
  self.kernel = torch.sparse_coo_tensor(
2026-09-22 19:50:19,485 Actual-data GPU equivalence checks passed: max error 0.00146484375
2026-09-22 19:50:43,643 Seed 0 | epoch 52/100 | train 1.032213 | val 1.035982 | elapsed 23.4s
2026-09-22 19:50:44,088 Seed 0 | epoch 53/100 | train 1.027903 | val 1.035592 | elapsed 23.8s
2026-09-22 19:50:44,534 Seed 0 | epoch 54/100 | train 1.026490 | val 1.029396 | elapsed 24.3s
2026-09-22 19:50:44,984 Seed 0 | epoch 55/100 | train 1.033646 | val 1.026157 | elapsed 24.7s
2026-09-22 19:50:45,430 Seed 0 | epoch 56/100 | train 1.027552 | val 1.029865 | elapsed 25.1s
2026-09-22 19:50:45,872 Seed 0 | epoch 57/100 | train 1.030121 | val 1.043741 | elapsed 25.6s
2026-09-22 19:50:46,314 Seed 0 | epoch 58/100 | train 1.038172 | val 1.023476 | elapsed 26.0s
2026-09-22 19:50:46,755 Seed 0 | epoch 59/100 | train 1.029201 | val 1.044263 | elapsed 26.5s
2026-09-22 19:50:47,199 Seed 0 | epoch 60/100 | train 1.031181 | val 1.030296 | elapsed 26.9s
2026-09-22 19:50:47,639 Seed 0 | epoch 61/100 | train 1.031150 | val 1.025436 | elapsed 27.4s
2026-09-22 19:50:48,084 Seed 0 | epoch 62/100 | train 1.032690 | val 1.033273 | elapsed 27.8s
2026-09-22 19:50:48,527 Seed 0 | epoch 63/100 | train 1.029103 | val 1.036788 | elapsed 28.2s
2026-09-22 19:50:48,970 Seed 0 | epoch 64/100 | train 1.030074 | val 1.047970 | elapsed 28.7s
2026-09-22 19:50:49,410 Seed 0 | epoch 65/100 | train 1.034443 | val 1.037241 | elapsed 29.1s
2026-09-22 19:50:49,851 Seed 0 | epoch 66/100 | train 1.025088 | val 1.031896 | elapsed 29.6s
2026-09-22 19:50:50,290 Seed 0 | epoch 67/100 | train 1.030385 | val 1.029708 | elapsed 30.0s
2026-09-22 19:50:50,730 Seed 0 | epoch 68/100 | train 1.030570 | val 1.029341 | elapsed 30.4s
2026-09-22 19:50:51,169 Seed 0 | epoch 69/100 | train 1.029949 | val 1.023698 | elapsed 30.9s
2026-09-22 19:50:51,611 Seed 0 | epoch 70/100 | train 1.027158 | val 1.039179 | elapsed 31.3s
2026-09-22 19:50:52,054 Seed 0 | epoch 71/100 | train 1.030245 | val 1.030448 | elapsed 31.8s
2026-09-22 19:50:52,497 Seed 0 | epoch 72/100 | train 1.028769 | val 1.048303 | elapsed 32.2s
2026-09-22 19:50:52,943 Seed 0 | epoch 73/100 | train 1.033078 | val 1.042930 | elapsed 32.7s
2026-09-22 19:50:53,387 Seed 0 | epoch 74/100 | train 1.028543 | val 1.024110 | elapsed 33.1s
2026-09-22 19:50:53,831 Seed 0 | epoch 75/100 | train 1.028137 | val 1.036828 | elapsed 33.5s
2026-09-22 19:50:54,272 Seed 0 | epoch 76/100 | train 1.028449 | val 1.035051 | elapsed 34.0s
2026-09-22 19:50:54,712 Seed 0 | epoch 77/100 | train 1.028053 | val 1.019698 | elapsed 34.4s
2026-09-22 19:50:55,150 Seed 0 | epoch 78/100 | train 1.032376 | val 1.031669 | elapsed 34.9s
